Banco;Código;ISPB;Nome Completo
FFA SCMEPP LTDA.;343;24537861;FFA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.
BCO XP S.A.;348;33264668;Banco XP S.A.
AL5 S.A. CFI;349;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO
CREHNOR LARANJEIRAS;350;1330387;COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CE
TORO CTVM S.A.;352;29162769;TORO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
NECTON INVESTIMENTOS S.A CVM;354;52904364;NECTON INVESTIMENTOS S.A. CORRETORA DE VALORES MOBILIÁRIOS E COMMODITIES
ÓTIMO SCD S.A.;355;34335592;ÓTIMO SOCIEDADE DE CRÉDITO DIRETO S.A.
MIDWAY S.A. - SCFI;358;9464032;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO
ZEMA CFI S/A;359;5351887;ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A
TRINUS CAPITAL DTVM;360;2276653;TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
CIELO S.A.;362;1027058;CIELO S.A.
SINGULARE CTVM S.A.;363;62285390;SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
GERENCIANET;364;9089356;GERENCIANET S.A.
SIMPAUL;365;68757681;SIMPAUL CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A.
BCO SOCIETE GENERALE BRASIL;366;61533584;BANCO SOCIETE GENERALE BRASIL S.A.
VITREO DTVM S.A.;367;34711571;VITREO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
BCO CSF S.A.;368;8357240;Banco CSF S.A.
BCO MIZUHO S.A.;370;61088183;Banco Mizuho do Brasil S.A.
WARREN CVMC LTDA;371;92875780;WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.
UP.P SEP S.A.;373;35977097;UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.
REALIZE CFI S.A.;374;27351731;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.
BCO J.P. MORGAN S.A.;376;33172537;BANCO J.P. MORGAN S.A.
BMS SCD S.A.;377;17826860;BMS SOCIEDADE DE CRÉDITO DIRETO S.A.
BBC LEASING;378;1852137;BBC LEASING S.A. - ARRENDAMENTO MERCANTIL
CECM COOPERFORTE;379;1658426;COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITU
PICPAY;380;22896431;PICPAY INSTITUIçãO DE PAGAMENTO S.A.
BCO MERCEDES-BENZ S.A.;381;60814191;BANCO MERCEDES-BENZ DO BRASIL S.A.
FIDUCIA SCMEPP LTDA;382;4307598;FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE L
EBANX IP LTDA.;383;21018182;EBANX INSTITUICAO DE PAGAMENTOS LTDA.
GLOBAL SCM LTDA;384;11165756;GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO
NU FINANCEIRA S.A. CFI;386;30680829;NU FINANCEIRA S.A. - Sociedade de Crédito, Financiamento e Investimento
BCO TOYOTA DO BRASIL S.A.;387;3215790;Banco Toyota do Brasil S.A.
BCO MERCANTIL DO BRASIL S.A.;389;17184037;Banco Mercantil do Brasil S.A.
BCO GM S.A.;390;59274605;BANCO GM S.A.
CCR DE IBIAM;391;8240446;COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM
BCO VOLKSWAGEN S.A;393;59109165;Banco Volkswagen S.A.
BCO BRADESCO FINANC. S.A.;394;7207996;Banco Bradesco Financiamentos S.A.
F D GOLD DTVM LTDA;395;8673569;F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
HUB PAGAMENTOS;396;13884775;HUB PAGAMENTOS S.A
LISTO SCD S.A.;397;34088029;LISTO SOCIEDADE DE CREDITO DIRETO S.A.
IDEAL CTVM S.A.;398;31749596;IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
KIRTON BANK;399;1701201;Kirton Bank S.A. - Banco Múltiplo
COOP CREDITAG;400;5491616;COOPERATIVA DE CRÉDITO, POUPANÇA E SERVIÇOS FINANCEIROS DO CENTRO OESTE - CREDIT
IUGU IP S.A.;401;15111975;IUGU INSTITUIÇÃO DE PAGAMENTO S.A.
COBUCCIO SCD S.A.;402;36947229;COBUCCIO SOCIEDADE DE CRÉDITO DIRETO S.A.
CORA SCD S.A.;403;37880206;CORA SOCIEDADE DE CRÉDITO DIRETO S.A.
SUMUP SCD S.A.;404;37241230;SUMUP SOCIEDADE DE CRÉDITO DIRETO S.A.
ACCREDITO SCD S.A.;406;37715993;ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A.
ÍNDIGO INVESTIMENTOS DTVM LTDA.;407;329598;ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
BONUSPAGO SCD S.A.;408;36586946;BONUSPAGO SOCIEDADE DE CRÉDITO DIRETO S.A.
PLANNER SCM S.A.;410;5684234;PLANNER SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR S.A.
VIA CERTA FINANCIADORA S.A. - CFI;411;5192316;Via Certa Financiadora S.A. - Crédito, Financiamento e Investimentos
BCO CAPITAL S.A.;412;15173776;BANCO CAPITAL S.A.
BCO BV S.A.;413;1858774;BANCO BV S.A.
WORK SCD S.A.;414;37526080;WORK SOCIEDADE DE CRÉDITO DIRETO S.A.
LAMARA SCD S.A.;416;19324634;LAMARA SOCIEDADE DE CRÉDITO DIRETO S.A.
ZIPDIN SCD S.A.;418;37414009;ZIPDIN SOLUÇÕES DIGITAIS SOCIEDADE DE CRÉDITO DIRETO S/A
NUMBRS SCD S.A.;419;38129006;NUMBRS SOCIEDADE DE CRÉDITO DIRETO S.A.
CC LAR CREDI;421;39343350;LAR COOPERATIVA DE CRÉDITO - LAR CREDI
BCO SAFRA S.A.;422;58160789;Banco Safra S.A.
COLUNA S.A. DTVM;423;460065;COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS
SOCINAL S.A. CFI;425;3881423;SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO
BIORC FINANCEIRA - CFI S.A.;426;11285104;Biorc Financeira - Crédito, Financiamento e Investimento S.A.
CRED-UFES;427;27302181;COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO
CRED-SYSTEM SCD S.A.;428;39664698;CRED-SYSTEM SOCIEDADE DE CRÉDITO DIRETO S.A.
CREDIARE CFI S.A.;429;5676026;Crediare S.A. - Crédito, financiamento e investimento
CCR SEARA;430;204963;COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA
BR-CAPITAL DTVM S.A.;433;44077014;BR-CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
DELCRED SCD S.A.;435;38224857;DELCRED SOCIEDADE DE CRÉDITO DIRETO S.A.
PLANNER TRUSTEE DTVM LTDA;438;67030395;PLANNER TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
ID CTVM;439;16695922;ID CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
CREDIBRF COOP;440;82096447;CREDIBRF - COOPERATIVA DE CRÉDITO
MAGNETIS - DTVM;442;87963450;MAGNETIS - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
CREDIHOME SCD;443;39416705;CREDIHOME SOCIEDADE DE CRÉDITO DIRETO S.A.
TRINUS SCD S.A.;444;40654622;TRINUS SOCIEDADE DE CRÉDITO DIRETO S.A.
PLANTAE CFI;445;35551187;PLANTAE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO
MIRAE ASSET CCTVM LTDA;447;12392983;MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CORRETORA DE CÂMBIO, TÍTULOS E VALORES MO
HEMERA DTVM LTDA.;448;39669186;HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
DMCARD SCD S.A.;449;37555231;DMCARD SOCIEDADE DE CRÉDITO DIRETO S.A.
FITBANK PAGAMENTOS ELETRONICOS S.A.;450;13203354;FITBANK PAGAMENTOS ELETRONICOS S.A.
CREDIFIT SCD S.A.;452;39676772;CREDIFIT SOCIEDADE DE CRÉDITO DIRETO S.A.
MÉRITO DTVM LTDA.;454;41592532;MÉRITO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
BCO MUFG BRASIL S.A.;456;60498557;Banco MUFG Brasil S.A.
UY3 SCD S/A;457;39587424;UY3 SOCIEDADE DE CRÉDITO DIRETO S/A
HEDGE INVESTMENTS DTVM LTDA.;458;7253654;HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
CCM SERV. PÚBLICOS SP;459;4546162;COOPERATIVA DE CRÉDITO MÚTUO DE SERVIDORES PÚBLICOS DO ESTADO DE SÃO PAULO - CRE
ASAAS IP S.A.;461;19540550;ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.
STARK SCD S.A.;462;39908427;STARK SOCIEDADE DE CRÉDITO DIRETO S.A.
BCO SUMITOMO MITSUI BRASIL S.A.;464;60518222;Banco Sumitomo Mitsui Brasileiro S.A.
CAPITAL CONSIG SCD S.A.;465;40083667;CAPITAL CONSIG SOCIEDADE DE CRÉDITO DIRETO S.A.
MASTER S/A CCTVM;467;33886862;MASTER S/A CORRETORA DE CâMBIO, TíTULOS E VALORES MOBILIáRIOS
BCO CAIXA GERAL BRASIL S.A.;473;33466988;Banco Caixa Geral - Brasil S.A.
CITIBANK N.A.;477;33042953;Citibank N.A.
BCO ITAUBANK S.A.;479;60394079;Banco ItauBank S.A.
DEUTSCHE BANK S.A.BCO ALEMAO;487;62331228;DEUTSCHE BANK S.A. - BANCO ALEMAO
JPMORGAN CHASE BANK;488;46518205;JPMorgan Chase Bank, National Association
ING BANK N.V.;492;49336860;ING Bank N.V.
BCO LA PROVINCIA B AIRES BCE;495;44189447;Banco de La Provincia de Buenos Aires
